0,2,6,1,8,4
3,5,10,13,7,12
9,14,17,11,15,16
18,19,20,21,22,23
24,26,25,28,27,41
30,31,29,33,34,32
35,37,36,39,42,40
44,38,47,43,45,49
46,51,48,52,54,50
55,57,53,56,0,59
58,1,2,60,3,5
6,9,4,11,12,7
8,10,14,16,15,25
13,17,18,23,19,24
22,20,26,27,28,29
30,31,32,21,37,35
33,38,34,39,36,40
45,42,44,43,46,41
49,50,47,51,53,48
52,54,55,58,56,59
60,1,0,57,3,2
4,7,5,8,11,10
12,13,9,6,14,15
19,16,17,18,23,21
20,24,25,22,29,26
28,32,27,30,33,34
36,31,37,40,35,38
41,39,42,44,46,45
43,49,50,51,52,47
53,48,54,55,59,57
56,58,1,0,2,60
3,6,5,10,8,4
7,11,9,13,14,12
16,15,18,19,17,22
20,25,21,27,23,24
28,29,26,32,30,31
33,34,38,35,41,39
36,40,37,42,45,43
46,44,47,50,51,48
56,49,60,0,52,53
55,54,57,5,59,58
2,3,1,7,6,4
9,8,13,10,14,11
16,12,17,15,22,18
21,19,23,20,24,27
28,25,33,29,26,31
30,32,37,34,36,38
35,41,39,40,44,45
42,46,47,50,48,49
43,51,52,54,55,57
56,60,0,59,2,53
58,1,5,4,6,11
9,8,3,7,10,13
15,12,17,14,19,16
18,21,20,25,29,22
26,24,23,30,33,27
31,35,28,32,37,34
36,38,42,39,40,45
52,41,44,46,43,47
48,54,49,51,50,53
59,55,56,57,1,60
58,2,0,6,3,4
5,8,10,7,11,9
378
