4,1,0,2
3,5,6,7
8,9,10,12
14,13,11,16
15,17,19,18
26,20,21,22
23,25,28,29
24,31,27,33
32,30,37,34
35,36,40,38
41,39,42,44
46,43,47,48
49,50,45,52
53,55,57,54
51,56,58,63
64,59,62,60
65,66,61,67
70,69,68,77
71,74,72,73
79,75,76,80
0,1,78,5
81,8,3,2
6,4,7,9
15,10,12,11
16,19,17,14
18,13,21,20
23,22,25,24
26,27,28,30
32,34,31,29
33,37,38,36
35,39,40,41
42,43,44,46
45,47,49,50
48,51,52,53
56,54,55,58
57,59,63,60
62,65,67,61
66,64,69,70
71,72,73,77
75,68,79,76
78,74,80,81
1,3,2,0
5,8,4,9
7,6,10,14
11,12,13,15
18,16,17,20
21,23,19,22
26,24,25,29
28,31,30,33
34,27,32,35
38,42,36,41
39,37,43,40
45,47,44,46
49,48,51,50
52,54,56,53
60,55,57,59
62,63,61,64
58,65,66,68
72,67,69,70
71,74,78,75
73,77,80,76
79,1,0,2
81,4,5,3
6,7,8,13
10,9,11,12
17,14,19,20
15,18,22,16
23,25,21,27
24,26,30,32
33,34,35,29
28,36,38,37
31,39,41,43
47,44,42,40
45,48,49,46
50,52,51,53
54,58,56,55
57,63,61,64
60,59,62,66
67,65,68,70
72,69,71,73
74,76,75,77
80,78,79,81
1,0,2,3
5,7,4,6
8,10,11,16
9,13,12,14
15,17,18,20
21,22,19,25
24,26,28,31
23,27,32,29
33,30,34,37
36,38,35,41
39,42,40,44
45,43,46,48
47,52,50,51
49,54,57,53
55,56,58,59
63,60,61,68
62,66,65,64
69,67,70,72
74,73,71,75
76,77,79,1
78,80,81,2
4,0,6,8
5,3,12,7
9,11,10,13
14,15,16,17
18,19,20,23
26,21,27,28
30,22,29,25
33,24,31,32
34,35,36,40
37,42,38,41
39,43,46,44
47,48,45,49
50,55,51,52
54,53,56,57
59,58,61,62
64,63,60,67
65,71,66,68
69,70,73,75
74,76,72,77
79,78,80,81
2,0,1,3
6,4,5,7
9,8,10,11
13,12,14,15
16,17,21,19
22,18,24,20
23,25,27,26
30,29,33,28
31,34,35,32
36,38,37,41
39,40,43,42
44,45,47,48
50,49,46,51
52,56,54,57
53,58,55,59
61,60,62,63
64,68,69,66
67,70,72,65
74,73,71,75
78,76,81,77
6,79,80,0
576
